,url,top-rank,title,artist
148,https://open.spotify.com/track/6E7P1uT2afeor2t6wR2y2r,1,Filhall,"B Praak, Akshay Kumar & Nupur Sanon"
149,https://open.spotify.com/track/0NS3ca87AFGTQ2jHWeaLJ1,63,Chalo Chalein,"Ritviz, Seedhe Maut"
150,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF,10,ON,BTS
151,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,62,Dusk Till Dawn - Radio Edit,"ZAYN, Sia"
152,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI,96,Ae Dil Hai Mushkil Title Track,"Pritam, Arijit Singh"
153,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,135,Beautiful People (feat. Khalid),Ed Sheeran
154,https://open.spotify.com/track/1Gf74nU1W35iJXFKbOKucL,72,Nachan Nu Jee Karda,"Romy, Nikhita Gandhi"
155,https://open.spotify.com/track/6lfSsCL894Qw15xbt7cSUy,9,"Jai Jai Shivshankar (From ""War"")","Vishal Dadlani, Benny Dayal"
156,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd,12,She Move It Like,Badshah
157,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,136,goosebumps,Travis Scott
158,https://open.spotify.com/track/3WWsCiSZNK7WTzAgWHLr5j,150,Jail 2,Mankirt Aulakh
159,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,20,My Oh My (feat. DaBaby),Camila Cabello
160,https://open.spotify.com/track/2a6vHSWc5vuPJrypTjCfRx,133,"Dilbar (From ""Satyameva Jayate"")","Neha Kakkar, Dhvani Bhanushali, Ikka"
161,https://open.spotify.com/track/7hXcOpRn1c1zFG6sOFcfj5,138,Video Bana De,"Sukh-E Muzical Doctorz, Aastha Gill"
162,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3,59,"Alone, Pt. II","Alan Walker, Ava Max"
163,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,62,Thunder,Imagine Dragons
164,https://open.spotify.com/track/6HGoVbCUr63SgU3TjxEVj6,67,Satisfya,Imran Khan
165,https://open.spotify.com/track/6fTEiqvwttauVDmDmDwD2T,72,Tareefan - Original,Chdry Saqib
166,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,92,FRIENDS,"Marshmello, Anne-Marie"
167,https://open.spotify.com/track/2hOlxSH3Zck6a2ki4xtKGV,67,"Coca Cola (From ""Luka Chuppi"")","Tony Kakkar, Neha Kakkar, Young Desi"
168,https://open.spotify.com/track/1WTwFMVRQvkx9fRpCKNrJ9,76,Tod Da E Dil,Ammy Virk
169,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp,104,Call You Mine,"The Chainsmokers, Bebe Rexha"
170,https://open.spotify.com/track/6aPMWbbdhDhiJHlknZb9Yx,6,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh, Sachet-Parampara"
171,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu,104,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding
172,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50,105,Attention,Charlie Puth
173,https://open.spotify.com/track/3ZjMdVOWxQ53FKrmkgCv95,3,"Psycho Saiyaan (From ""Saaho"")","Sachet Tandon, Dhvani Bhanushali, Tanishk Bagchi"
174,https://open.spotify.com/track/6bdpj89aYEBjhpsenXAsmO,32,Enna Sona,"A.R. Rahman, Arijit Singh"
175,https://open.spotify.com/track/6tzckBcK66LzeSA1Opnv35,123,"Raabta (From ""Agent Vinod"")",Arijit Singh
176,https://open.spotify.com/track/4iluAn44ygE4P4LTtsmoZh,112,Bewafai,"Sachet Tandon, Rochak Kohli"
177,https://open.spotify.com/track/65c6VCikt7f5sAS1heoYQC,51,Same Beef,"Bohemia, Sidhu Moose Wala"
178,https://open.spotify.com/track/0loZn1c5heXie7OAtvK6nH,83,Humnava Mere,"Jubin Nautiyal, Rocky - Shiv"
179,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,55,Perfect,Ed Sheeran
180,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE,52,Tum Se Hi,"Pritam, Mohit Chauhan"
181,https://open.spotify.com/track/0l6g8Z8mqGbGXFOjigYetD,45,Hawayein,"Pritam, Arijit Singh"
182,https://open.spotify.com/track/6fScgF2Y63ScU73nYju0ny,54,O Saathi,"Atif Aslam, Arko"
183,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi,36,Qaafirana,"Arijit Singh, Nikhita Gandhi"
184,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6,53,Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan"
185,https://open.spotify.com/track/65hNUaQSau704UtsRZVhKy,148,Tu Hi Das De,"Tedi Pagg, Simar Panag, Mickey Singh"
186,https://open.spotify.com/track/6xJSWjmb3m5mrPEormFHiI,73,Tibeyan da Putt,Sidhu Moose Wala
187,https://open.spotify.com/track/4FcknXDJ8yW2QYUl0cm6uJ,127,Bewafa,Imran Khan
188,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,115,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake
189,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,18,hot girl bummer,blackbear
190,https://open.spotify.com/track/0KMxACWz7WJYy9wj7YVKKr,91,Gaddi Pichhe Naa,"Khan Bhaini, Shipra Goyal"
191,https://open.spotify.com/track/6vJahG1DAl4YjWze8RU0Mj,153,Nai Chaida,Lisa Mishra
192,https://open.spotify.com/track/77riTlvCLV3K8O0glNiQ8B,55,Surma Surma,"Guru Randhawa, Jay Sean, Vee"
193,https://open.spotify.com/track/4obyqyCX0Vx839PTsz1OGf,100,Goa Beach,"Tony Kakkar, Neha Kakkar"
194,https://open.spotify.com/track/6nZiYSBwPQ7fYnVWkkkj4g,45,Kho Gaye Hum Kahan,"Jasleen Royal, Prateek Kuhad"
195,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,72,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth
196,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM,56,Channa Mereya,"Pritam, Arijit Singh"
197,https://open.spotify.com/track/0zHZSO80CTxNtvtRhveHRJ,153,Sau Aasmaan,"Armaan Malik, Neeti Mohan"
198,https://open.spotify.com/track/7EPMILezRmD7gHhgx11e7k,35,Thandi Hawa,Ritviz
199,https://open.spotify.com/track/5wdlz4N7s1Xyr4y4RXhZJM,14,"Photo (From ""Luka Chuppi"")","Karan Sehmbi, Tanishk Bagchi, Goldboy"
